id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-4,2025-01-09,000001,Vente,183000,250,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,218,35.74,,,,,,,,,1,2,Appartement,35,2,,,,,,6.065041,46.332887
2025-4,2025-01-09,000001,Vente,183000,,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,401,12,,,,,,,,,1,3,Dépendance,,0,,,,,,6.065041,46.332887
2025-4,2025-01-09,000001,Vente,183000,250,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,254,13.09,,,,,,,,,1,3,Dépendance,,0,,,,,,6.065041,46.332887
2025-18,2025-01-10,000001,Vente,259000,85,,RUE DE CHATEAU GAGNEUR,0101,01170,01173,Gex,01,,,01173000AB0236,,,148,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056815,46.339469
2025-18,2025-01-10,000001,Vente,259000,85,,RUE DE CHATEAU GAGNEUR,0101,01170,01173,Gex,01,,,01173000AB0236,,,67,48.68,,,,,,,,,1,2,Appartement,48,2,,,,,,6.056815,46.339469
2025-41,2025-01-06,000001,Vente,590000,532,T,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AK0136,,,1,130.2,,,,,,,,,1,1,Maison,130,5,,,,,,6.054962,46.327551
2025-47,2025-01-07,000001,Vente,,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0156,,,,,,,,,,,,,0,,,,,S,sols,,,5049,6.058559,46.339728
2025-105,2025-01-02,000001,Vente,480000,,,PRE VERT,B083,01170,01173,Gex,01,,,01173000AB0019,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,2308,6.056724,46.342582
2025-172,2025-01-22,000001,Vente,235000,129,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0011,,,15,15.5,42,45.28,,,,,,,2,3,Dépendance,,0,,,,,,6.056376,46.326706
2025-172,2025-01-22,000001,Vente,235000,129,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0011,,,15,15.5,42,45.28,,,,,,,2,2,Appartement,45,2,,,,,,6.056376,46.326706
