id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-3530,2024-05-07,000001,Vente,193000,18,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AI0413,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.057208,46.331769
2024-3530,2024-05-07,000001,Vente,193000,18,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AI0413,,,15,,3,43.41,,,,,,,2,2,Appartement,47,2,,,,,,6.057208,46.331769
2024-3565,2024-04-25,000001,Vente en l'état futur d'achèvement,397200,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0763,,34,,,,,,,,,,,0,,,,,,,,,,6.059273,46.332618
2024-3565,2024-04-25,000001,Vente en l'état futur d'achèvement,397200,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0763,,35,,,,,,,,,,,0,,,,,,,,,,6.059273,46.332618
2024-3631,2024-05-06,000001,Vente,649000,360,,RUE DE LA SOURCE,1935,01170,01173,Gex,01,,,01173000AB0138,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,745,6.058194,46.340685
2024-3631,2024-05-06,000001,Vente,649000,360,,RUE DE LA SOURCE,1935,01170,01173,Gex,01,,,01173000AB0138,,,,,,,,,,,,,0,1,Maison,105,3,S,sols,,,745,6.058194,46.340685
2024-3631,2024-05-06,000001,Vente,649000,9001,,RUE DE PARIS,0600,01170,01173,Gex,01,,,01173000AB0141,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,16,6.058277,46.340231
2024-3631,2024-05-06,000001,Vente,649000,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0142,,,,,,,,,,,,,0,,,,,S,sols,,,76,6.058334,46.340209
2024-3631,2024-05-06,000001,Vente,649000,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0147,,,,,,,,,,,,,0,,,,,S,sols,,,13,6.059025,46.339868
2024-3631,2024-05-06,000001,Vente,649000,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0152,,,,,,,,,,,,,0,,,,,S,sols,,,1640,6.059228,46.338931
2024-3631,2024-05-06,000001,Vente,649000,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0153,,,,,,,,,,,,,0,,,,,S,sols,,,12,6.058837,46.338751
2024-3631,2024-05-06,000001,Vente,649000,,,LES FOURCHES,B038,01170,01173,Gex,01,,,01173000AB0156,,,,,,,,,,,,,0,,,,,S,sols,,,5049,6.058559,46.339728
2024-3666,2024-05-07,000001,Vente,480000,,,LES HUTAINS,B048,01170,01173,Gex,01,,,011730000C0508,,,,,,,,,,,,,0,,,,,P,prés,,,1189,6.041819,46.331849
2024-3666,2024-05-07,000001,Vente,480000,,,LES HUTAINS,B048,01170,01173,Gex,01,,,011730000C0512,,,,,,,,,,,,,0,,,,,S,sols,,,66,6.042268,46.331874
2024-3666,2024-05-07,000001,Vente,480000,,,SOUS MONTCHANAIS,B096,01170,01173,Gex,01,,,011730000C0515,,,,,,,,,,,,,0,,,,,BM,futaies mixtes,,,271,6.041319,46.33194
2024-3757,2024-04-30,000001,Vente,155000,283,,RUE DES ABATTOIRS,0011,01170,01173,Gex,01,,,01173000AK0166,,,3,,,,,,,,,,1,2,Appartement,67,3,,,,,,6.05633,46.330821
2024-3783,2024-04-30,000001,Vente,520000,604,,RUE DE LA FOLATIERE,0294,01170,01173,Gex,01,,,01173000AN0050,,,11,104.78,,,,,,,,,1,1,Maison,104,5,,,,,,6.059244,46.318964
2024-3785,2024-05-02,000001,Vente,259200,42,,IMP DES TERRASSES,1960,01170,01173,Gex,01,,,01173000AD0130,,,10,64.94,,,,,,,,,1,2,Appartement,65,3,,,,,,6.069782,46.337577
2024-3785,2024-05-02,000001,Vente,259200,42,,IMP DES TERRASSES,1960,01170,01173,Gex,01,,,01173000AD0130,,,10,64.94,,,,,,,,,1,3,Dépendance,,0,,,,,,6.069782,46.337577
2024-3787,2024-05-02,000001,Vente,340000,31,,RUE DES USINIERS,0745,01170,01173,Gex,01,,,01173000AC0220,,,,,,,,,,,,,0,1,Maison,126,3,S,sols,,,76,6.064201,46.337842
2024-3791,2024-04-22,000001,Vente,485000,,,GEX LA VILLE,B042,01170,01173,Gex,01,,,01173000AC0676,,,6,144.12,,,,,,,,,1,2,Appartement,160,5,,,,,,6.062923,46.340105
2024-3791,2024-04-22,000001,Vente,485000,,,GEX LA VILLE,B042,01170,01173,Gex,01,,,01173000AC0676,,,3,,4,,,,,,,,2,3,Dépendance,,0,,,,,,6.062923,46.340105
2024-3792,2024-05-02,000001,Vente,409100,85,,RUE DE CHATEAU GAGNEUR,0101,01170,01173,Gex,01,,,01173000AB0236,,,22,,,,,,,,,,1,2,Appartement,86,4,,,,,,6.056815,46.339469
2024-3792,2024-05-02,000001,Vente,409100,85,,RUE DE CHATEAU GAGNEUR,0101,01170,01173,Gex,01,,,01173000AB0236,,,97,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056815,46.339469
2024-4089,2024-05-24,000001,Vente,160000,17,,RUE GEORGES CHARPAK,0361,01170,01173,Gex,01,,,01173000AD0044,,,49,,59,62.49,,,,,,,2,2,Appartement,65,3,,,,,,6.066537,46.337657
